,track_ids,track_name,duration_milliseconds,explicit,popularity,album_id,album_name,album_release_date,track_number_in_album,total_tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
113,7DFKZeHytl80710avStSCH,Lift Off,318939,False,41,3nOTv7wBRQ4bxeeIw47a6l,Lift Off,2020-03-11,1,1,0.488,0.567,1,-9.875,1,0.1,0.0307,0.842,0.0896,0.308,138.522,4
114,4FQytrC7QjGy8mecYCnsuy,What Kinda Music,230470,False,44,7rnlxqdiSjjvceJLVMMmmv,What Kinda Music,2020-02-12,1,1,0.523,0.56,5,-9.423,0,0.145,0.0532,0.83,0.0981,0.151,96.167,4
115,67vedKB2ElfEQDCF3ztoX4,My Fancy Free Future Love - Tom Misch Remix,294861,True,38,1nJJZh7fy1gS36zRDRbu4k,My Fancy Free Future Love (Tom Misch Remix),2020-01-10,1,2,0.549,0.646,0,-9.1,1,0.206,0.389,0.000755,0.0663,0.779,91.011,4
116,0LsRSrs5Jhb4uH8aE1y535,My Fancy Free Future Love,261484,True,23,1nJJZh7fy1gS36zRDRbu4k,My Fancy Free Future Love (Tom Misch Remix),2020-01-10,2,2,0.635,0.698,7,-7.101,1,0.222,0.213,0.0,0.117,0.426,90.974,4
117,4yMT3mbUsiukLDRqPfQ9rN,Losing My Way,259200,False,61,7KiHTorahtMj9enKWtg5lo,Losing My Way,2019-10-10,1,2,0.838,0.432,6,-14.398,1,0.228,0.562,0.363,0.0987,0.127,99.978,4
118,02KGzl74fhtpKRDofhXgW6,"Losing My Way - Live at O2 Academy Brixton, 2019",429250,False,37,7KiHTorahtMj9enKWtg5lo,Losing My Way,2019-10-10,2,2,0.434,0.529,4,-11.241,1,0.0455,0.837,0.605,0.973,0.223,97.693,4
119,2LUTN2pDXUplYlc7WjE1Mm,Money (with Tom Misch),291568,False,59,5qmEF78Uq9CjwIgvKQe7WG,Money,2019-06-18,1,1,0.774,0.419,4,-9.649,0,0.0758,0.539,0.0698,0.029,0.644,118.008,4
120,6jXootKZGROEqgC05nPn58,Lost In Paris,194023,True,9,0KWaGTiWoLcqnMROmwWF2v,Lost In Paris,2018-04-04,1,1,0.788,0.711,1,-7.811,0,0.0597,0.364,2.07e-05,0.0838,0.802,104.149,4
121,6lxcWIvMQK3yezxwFfZcKZ,Lost in Paris,194023,False,47,3OGqx2jmVKVkKOIOxGjOQC,Lost in Paris,2018-04-03,1,1,0.788,0.711,1,-7.811,0,0.0597,0.364,2.07e-05,0.0838,0.802,104.149,4
122,2Nf2NsEDi9i0a0vTi8blPT,It Run's Through Me,261881,False,10,1XEPJSfxTS7MvnGLPNcnpb,It Run's Through Me,2018-03-02,1,1,0.802,0.607,11,-11.028,0,0.289,0.205,0.000748,0.246,0.274,96.916,4
